url,filename,number,sprite,deadCode1,deadCode2,deadCode3,deadCode4,deadCode5,deadCode6,deadCode7,deadCode8,deadCode9,deadCode10,deadCode11,deadCode12,deadCode13,deadCode14,deadCode15,deadCode16,deadCode17,deadCode18,deadCode19,deadCode20,deadCode21
,heewon and audrey.sb3,707,Buildings3,touching ( v)?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn11,() = (),<> or <>,<> or <>,<> or <>,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn12,() = (),<> or <>,<> or <>,<> or <>,[ v] contains ()?,add () to [ v],if <> then,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn13,() = (),<> or <>,<> or <>,<> or <>,[ v] contains ()?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn14,() = (),<> or <>,<> or <>,<> or <>,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn31,() = (),<> or <>,<> or <>,<> or <>,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn32,() = (),<> or <>,<> or <>,<> or <>,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn33,() = (),<> or <>,<> or <>,<> or <>,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn34,() = (),<> or <>,<> or <>,<> or <>,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis11,if <> then,if <> then,stop [ v],show,<> or <>,delete word (),go to [ v] layer,stop [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew11,touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),create clone of ( v),repeat until <>,<> or <>,change [ v] by (),touching ( v)?,touching ( v)?,touching ( v)?
,heewon and audrey.sb3,707,wallis12,change [ v] by (),if <> then,if <> then,stop [ v],delete word (),<> or <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew12,touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),create clone of ( v),N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis13,change [ v] by (),if <> then,stop [ v],<> or <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew13,touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),create clone of ( v),N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis14,[ v] contains ()?,delete () of [ v],delete word (),<> or <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew14,touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),create clone of ( v),N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis31,if <> then,if <> then,stop [ v],show,<> or <>,delete word (),go to [ v] layer,repeat until <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew31,touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),create clone of ( v),N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis32,change [ v] by (),if <> then,if <> then,stop [ v],delete word (),<> or <>,repeat until <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew32,touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),create clone of ( v),N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis33,change [ v] by (),if <> then,stop [ v],<> or <>,repeat until <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew33,touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),create clone of ( v),N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis34,[ v] contains ()?,delete () of [ v],delete word (),<> or <>,if <> then,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew34,touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),create clone of ( v),N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn11,when I receive [ v],hide,stop [ v],[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn12,stop [ v],stop [ v],add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn13,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn14,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn31,when I receive [ v],hide,stop [ v],[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn32,stop [ v],stop [ v],[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn33,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn34,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper11,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],set size to () %,show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper12,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper13,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper14,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper31,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],set size to () %,show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper32,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,<> or <>,<> or <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper33,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper34,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z11,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,forever,hide,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z12,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,() = (),if <> then,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z13,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,() = (),if <> then,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z31,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,if <> then,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z32,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,() = (),if <> then,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z33,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,() = (),if <> then,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Albedo Pong.sb3,6,Sun,join () (),username,join () (),join () (),username,join () (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Anjali and Mariana-3.sb3,1,Stage,start sound ( v),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
