url,filename,number,sprite,deadCode1,deadCode2,deadCode3
,Climate Change Game (1).sb3,71,Buildings26,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings27,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings28,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings29,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings30,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings31,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings32,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings33,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings34,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings35,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings36,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings37,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings10,if <> then,N/A,N/A
,Climate Change.sb3,2,Shark,change [ v] by (),N/A,N/A
,Climate Change.sb3,2,Fish1,set [ v] to (),N/A,N/A
,Potato_s adventure.sb3,1,Taco,show,N/A,N/A
,Climate Change Game-2.sb3,4,Sprite16,repeat (),repeat (),N/A
,Climate Change Game-2.sb3,4,Sprite11,repeat (),repeat (),N/A
,Save the Earth.sb3,1,Rainbow,stop [ v],N/A,N/A
,factory .sb3,3,Ball,when I receive [ v],repeat (),pick random () to ()
,help the polar bear.sb3,3,Bear2,forever,N/A,N/A
,help the polar bear.sb3,3,Button1,if <> then,if <> then,N/A
,Penguin Game .sb3,1,AZ Hip-Hop,forever,N/A,N/A
,Plant Man IV.sb3,122,Stage,if <> then,N/A,N/A
,Plant Man IV.sb3,122,Clyde,() < (),N/A,N/A
,Plant Man IV.sb3,122,Blinky,when I receive [ v],N/A,N/A
,Plant Man IV.sb3,122,Pinky,when I receive [ v],N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT2,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT3,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT4,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT5,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT6,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT7,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT8,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT9,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT10,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT11,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT12,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT13,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT14,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT15,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT16,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT17,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT18,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT19,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT20,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT21,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT22,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT23,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT24,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT25,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT26,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT27,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT28,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT29,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT30,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT31,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT32,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT33,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT34,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT35,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT36,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT37,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT38,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT39,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT40,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT41,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT42,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT43,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT44,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT45,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT46,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT47,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT48,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT49,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT50,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT51,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT52,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT53,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT54,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT55,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT56,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT57,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT58,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT59,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT60,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT61,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT62,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT63,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT64,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT65,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT66,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT67,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT68,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT69,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT70,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT71,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT72,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT73,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT74,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT75,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT76,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT77,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT78,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT79,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT80,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT81,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT82,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT83,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT84,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT85,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT86,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT87,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT88,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT89,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT90,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT91,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT92,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT93,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT94,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT95,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT96,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT97,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT98,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT99,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT100,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT101,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT102,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT103,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT104,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT105,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT106,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT107,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT108,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT109,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT110,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT111,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT112,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT113,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT114,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT115,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT116,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT117,set [ v] to (),N/A,N/A
,Plant Man IV.sb3,122,CO2 DOT118,set [ v] to (),N/A,N/A
,Greenite_ The Greenining.sb3,7,Desert,broadcast ( v),N/A,N/A
,Greenite_ The Greenining.sb3,7,Flash,hide variable [ v],N/A,N/A
,Greenite_ The Greenining.sb3,7,Player,broadcast ( v),N/A,N/A
,Greenite_ The Greenining.sb3,7,Plane2,broadcast ( v),broadcast ( v),repeat ()
,Greenite_ The Greenining.sb3,7,Fade,broadcast ( v),N/A,N/A
,Car Game.sb3,1,electric,distance to ( v),N/A,N/A
,Co2 DASH.sb3,2,Stage,key ( v) pressed?,N/A,N/A
,Co2 DASH.sb3,2,Convertible1,hide,N/A,N/A
,trash collect.sb3,5,Stage,switch backdrop to ( v),<> and <>,N/A
,trash collect.sb3,5,cantrash,forever,if <> then,if <> then
,Carbon Clicker.sb3,2,Button1,repeat until <>,if <> then,N/A
,Saving Antarctica.sb3,1,Cloud6,move () steps,N/A,N/A
,Hydrosphere Box Game.sb3,4,picking up,hide,show,N/A
,Hydrosphere Box Game.sb3,4,cleaning,hide,show,N/A
,Fight the Pollution!.sb3,1,Stage,when I receive [ v],N/A,N/A
,Climate change game!!!!.sb3,1,huge-numbers-of-people-will-die-from-air-pollution-in-the-next-20-years2,if <> then,N/A,N/A
,FartMan™.sb3,2,cow,if <> then,if <> then,N/A
,Carbon Emmisions.sb3,2,Dan,color () is touching ()?,N/A,N/A
,Carbon Emmisions.sb3,2,Car-Bug,hide,N/A,N/A
